total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
207185000000.0,84.0,146.0,331.0,4.0,0.1205,0.1125,0.105,23.46,63.0,23.46
80494772224.0,90.0,157.0,356.0,3.0,0.1244,0.1217,0.1154,22.63,26.0,22.63
66710152.0,255.0,465.0,1070.0,4.0,0.117,0.1357,0.1006,25.51,90.0,25.51
8436938.0,1422.0,2164.0,4108.0,1.0,0.0059,0.0377,0.0122,26.35,97.0,26.35
8436938.0,938.0,1666.0,3594.0,1.0,0.0276,0.0544,0.0239,26.35,97.0,26.35
8436938.0,1430.0,2317.0,4583.0,1.0,0.0074,0.0362,0.0091,26.35,97.0,26.35
156255680.0,326.0,565.0,1252.0,3.0,0.0975,0.0948,0.0318,23.09,74.0,23.09
3555852544.0,142.0,247.0,555.0,5.0,0.1985,0.1906,0.1468,19.77,4.0,19.77
55423252.0,297.0,640.0,1610.0,4.0,0.1193,0.1009,0.0672,24.36,83.0,24.36
297861376.0,355.0,723.0,1762.0,4.0,0.107,0.0921,0.0628,21.18,10.0,21.18
297861376.0,306.0,640.0,1585.0,4.0,0.106,0.0926,0.0643,21.18,10.0,21.18
297861376.0,276.0,590.0,1481.0,4.0,0.1074,0.0936,0.0637,21.18,10.0,21.18
136474688.0,929.0,1378.0,2620.0,3.0,0.0526,0.0442,0.0229,27.61,57.0,27.61
55423252.0,366.0,746.0,1813.0,4.0,0.1166,0.0981,0.0645,24.36,83.0,24.36
91780352.0,661.0,1134.0,2441.0,3.0,0.2224,0.2106,0.1429,18.05,1.0,18.05
780147584.0,278.0,483.0,1073.0,4.0,0.2033,0.1913,0.1258,22.03,46.0,22.03
1597934464.0,264.0,460.0,1024.0,4.0,0.2331,0.2365,0.1772,21.6,64.0,21.6
1597934464.0,399.0,691.0,1522.0,4.0,0.228,0.2313,0.1728,21.6,64.0,21.6
1597934464.0,492.0,849.0,1856.0,4.0,0.2242,0.2275,0.1691,21.6,64.0,21.6
992850816.0,930.0,1212.0,2015.0,2.0,0.1344,0.1128,0.0883,22.51,60.0,22.51
992850816.0,633.0,1092.0,2171.0,2.0,0.1473,0.1171,0.0863,22.51,60.0,22.51
780147584.0,231.0,401.0,895.0,4.0,0.205,0.1936,0.1279,22.03,46.0,22.03
992850816.0,268.0,466.0,1037.0,1.0,0.1604,0.1296,0.0982,22.51,60.0,22.51
780147584.0,278.0,483.0,1073.0,3.0,0.2034,0.1917,0.127,22.03,46.0,22.03
693799232.0,157.0,275.0,617.0,3.0,0.1397,0.0399,-0.0351,32.03,13.0,32.03
780147584.0,970.0,1258.0,2073.0,3.0,0.1743,0.1724,0.1154,22.03,46.0,22.03
693799232.0,378.0,655.0,1443.0,3.0,0.132,0.0328,-0.0418,32.03,13.0,32.03
992850816.0,324.0,567.0,1265.0,2.0,0.159,0.1283,0.0972,22.51,60.0,22.51
91780352.0,428.0,739.0,1624.0,3.0,0.2319,0.2202,0.152,18.05,1.0,18.05
137826928.0,576.0,990.0,2148.0,4.0,0.2475,0.2328,0.1455,23.46,32.0,23.46
